"offer_name","price","mileage_km","fuel_type","transmission","engine_capacity","power","country_of_origin","description","vehicle_brand","vehicle_model","color","production_year","seller_name","seller_type","seller_time_on_site","location","weight_kg","power_num","engine_capacity_num","mileage_km_num","weight_kg_num","years","price_num"
"Mercedes-Benz Actros MP4 3253 - 8x2","155000","900 000 km","Diesel","Automatyczna","12 809 cm3","530 KM","Finlandia","Sprzedam Mercedes Benz Actros MP4 3253 skrzynia automat bez retardera, sprowadzony z Finladi stan bardzo dobry przebieg autostradowy, konfiguracja 8x2, trzy osie skrętne i dwie osie podnoszone, cały na poduszkach, koła 315/70r22.5","Mercedes-Benz","Actros MP4 3253 - 8x2","Biały",2018,"Przemek","Osoba prywatna","Sprzedający na OTOMOTO od 2017","Orońsko, szydłowiecki, Mazowieckie",NA,530,12809,900000,NA,7,155000
"Volvo FL 250","98277","352 949 km","Diesel","Manualna","7 698 cm3","250 KM",NA,"Do sprzedania sprowadzone z Niemiec Volvo FL 250Zabudowa firanka 18 paletowaWinda załadunkowa MBB PALFINGER 1500 kgKlimatyzacja Opony 265/70 R19.5  80% bieżnika Manualna skrzynia biegów Samochód w bardzo dobry stanie technicznym i wizualnym Blokada mostu Więcej informacji pod numerem telefonu","Volvo","FL 250","Biały",2014,"MZ-AUTO",NA,"Sprzedający na OTOMOTO od 2023","Zobacz więcej ofert (5) tego sprzedawcyZnajdź na mapieBRZOZOWA 4C - 05-300 Targówka, miński, Mazowieckie (Polska)","4900",250,7698,352949,4900,11,98277
"Scania G 450 BETONOMIESZARKA LIEBHERR 9 m3","59900","245 000 km","Diesel","Manualna","12 742 cm3","450 KM",NA,"WitamPosiadam do sprzedaniaSCANIE G 450 bez egrRok- 2017EURO 6Zabudowa gruszka LIEBHERR 9 m3Napęd-8x4WyposażenieKlimatyzacjaGrzane foteleKabina sypialkaNawigacjaCentralne smarowanieRetarderAuto świeżo sprowadzone z NiemiecOd 1 właściciela w idealnym stanieNiski przebieg tylko 245 tys kmNie malowana w oryginaleSuper stanPolecamTel- Wyświetl numer","Scania","G 450 BETONOMIESZARKA LIEBHERR 9 m3","Niebieski",2017,"Wiktor","Osoba prywatna","Sprzedający na OTOMOTO od 2018","Parznice, radomski, Mazowieckie","34000",450,12742,245000,34000,8,59900
"Scania 164L V8","31700","1 448 700 km","Diesel","Automatyczna","16 000 cm3","480 KM",NA,"Witam.Posiadam do sprzedania swoją prywatną SCANIA 164L V8 O Mocy 480KM + chip 80KMSamochód w ciągłej eksploatacjiBezwypadkowy* Opticruise ze sprzęgłem* Tempomat* Stare tacho na tarczki* Podgrzewane Lusterka* Ogrzewanie postojowe* Lodówka* Blokada Mostu* El.SzybyWystawiam FV 23%. Podana cena jest ceną BRUTTOTel.Kont. Wyświetl numer","Scania","164L V8","Bordowy",2003,"Marcin","Osoba prywatna","Sprzedający na OTOMOTO od 2014","Konstancin-Jeziorna, piaseczyński, Mazowieckie",NA,480,16000,1448700,NA,22,31700
"Mercedes-Benz Atego 1224","115005","341 584 km","Diesel","Automatyczna","7 698 cm3","240 KM",NA,"Do sprzedania sprowadzony z Austrii Mercedes Atego 1224Pojemność silnika 7698cmAutomatyczna skrzynia biegów Winda składana BAR Typ BC1500Opony przód nowe 265/70 R19.5Opony tył 70 % 265/70 R19.5Norma emisji spalin euro 6 Klimatyzacja Agregat elektryczny FrigBlockKamera cofania Kierownica wielofunkcyjna ABSASRBlokada mostu Serwisowany w Mercedes BenzWięcej informacji pod numerem telefonu","Mercedes-Benz","Atego 1224","Niebieski",2014,"MZ-AUTO",NA,"Sprzedający na OTOMOTO od 2023","Zobacz więcej ofert (5) tego sprzedawcyZnajdź na mapieBRZOZOWA 4C - 05-300 Targówka, miński, Mazowieckie (Polska)","3705",240,7698,341584,3705,11,115005
"Volvo FH12","36000","1 477 980 km","Diesel","Automatyczna",NA,NA,NA,"Witam,mam do zaoferowania ciągnik samochodowy VOLVO FH12 z 2004 roku.Auto zarejestrowane w Polsce.Dodatkowe informacje:-maksymalna masa całkowita pojazdu - 20000kg-masa własna pojazdu - 7466 kg-pojemność silnika - 12130 cm3-maksymalna moc netto silnika - 338 KW-tachograf ważny do 04/2025Auto chętnie sprzedam w zestawie z naczepą ciężarową SCHMITZ z 2008 roku, widoczną na zdjęciach. Cena naczepy - 38.000,00 zł netto. Cena podana w ogłoszeniu dotyczy ciągnika samochodowego.Zapraszam do kontaktu pod wskazanym numerem telefonu. Odpisuję także na wiadomości SMS.Auto zarejestrowane na firmę. Wystawiam fakturę VAT.","Volvo","FH12","Biały",2004,"MAKJAN","Osoba prywatna","Sprzedający na OTOMOTO od 2022","Mszczonów, żyrardowski, Mazowieckie",NA,NA,NA,1477980,NA,21,36000
"Mercedes-Benz Arocs","194340","657 000 km","Diesel","Automatyczna","12 809 cm3","450 KM",NA,"Na sprzedaż Mercedes Arocs 4x4 na wale , skrzynia biegów automatyczna , bezwypadkowy w bardzo dobrym stanie w ciągłym użytkowaniu , na poduszkach , istnieje możliwość sprawdzenia podczas pracy . cena netto 158 tys . Wyświetl numer zapraszam","Mercedes-Benz","Arocs","Biały",2015,"Tomasz","Osoba prywatna","Sprzedający na OTOMOTO od 2015","Warszawa, Bemowo","9357",450,12809,657000,9357,10,194340
"MAN 14.224 LC  Straż , przebieg tylko 6300 km , pożarniczy","59000","6 300 km","Diesel","Manualna","6 871 cm3","224 KM",NA,"Sprzedam !!!Samochód cieżarowy specjalny pożarniczy MAN 14.224 LC .Auto w idealnym stanie wizualnym i technicznym rok produkcji 2001Przebieg tylko 6300 km .Możliwość sprawdzenia w bazie Cepik . Aktualny przegląd oraz OC.Nowe akumulatory.Oryginalne opony.Jedyny taki egzemplarz. Nadaje się na przebudowę np. Typu kamper, wywrotka hds itp.Użytkowane przed jednego właściciela od nowości „zakład specjalistyczny „ .Opis zabudowy:Gaśniczy ciężki samochód proszkowo-śniegowy zabudowany przez BPS Szczęśniak na podwoziu MAN LE220BWyposażony w dwa zbiorniki proszku gaśniczego o poj. 1,5 tys. kg każdy i instalację śniegową z szesnastoma butlami CO o łącznej pojemności 480 kg.Cena w ogłoszeniu jest ceną na export w kraju plus VAT .Więcej informacji udzielę telefonicznie.","MAN","14.224 LC  Straż , przebieg tylko 6300 km , pożarniczy","Czerwony",2001,"Tomek","Osoba prywatna","Sprzedający na OTOMOTO od 2015","Góra Kalwaria, piaseczyński, Mazowieckie","10410",224,6871,6300,10410,24,59000
"Volvo Primbox FM 380","51660","708 925 km","Diesel","Manualna","9 364 cm3","380 KM",NA,"Witam,Do sprzedania Volvo/Primbox FM380 HDS z tyłu z rotatorem i widłamiAuto z 2004r o pojemności 9364 i mocy 380KMDopuszczalna masa całkowita 26 000kgDopuszczalna ładowność 15 110kgAuto w pełni sprawne, do końca użytkowaneWięcej informacji udzielę telefonicznie tel. Wyświetl numerZapraszam również na moje inne aukcje","Volvo","Primbox FM 380","Biały",2004,"REN-TRANS USŁUGI TRANSPORTOWE STĘPIEŃ MARIUSZ",NA,"Sprzedający na OTOMOTO od 2019","Zobacz więcej ofert (4) tego sprzedawcyZnajdź na mapieDUCZKI, UL. PRZYTOROWA 104 - 05-200 Wołomin, wołomiński, Mazowieckie (Polska)","15110",380,9364,708925,15110,21,51660
"Mercedes-Benz Atego","57810","370 000 km","Diesel","Manualna","6 370 cm3","280 KM",NA,"Witam,Do sprzedania auto Mercedes-Benz Atego HDS, z 2001 roku pojemności 6370 i mocy 280KMHDS za kabinąŁadowność 15150kgAuto sprawne w ciągłej eksploatacjiWięcej informacji udzielę telefonicznieTel. Wyświetl numer","Mercedes-Benz","Atego","Biały",2001,"REN-TRANS USŁUGI TRANSPORTOWE STĘPIEŃ MARIUSZ",NA,"Sprzedający na OTOMOTO od 2019","Zobacz więcej ofert (4) tego sprzedawcyZnajdź na mapieDUCZKI, UL. PRZYTOROWA 104 - 05-200 Wołomin, wołomiński, Mazowieckie (Polska)","15150",280,6370,370000,15150,24,57810
